word,definition
lictor,ancient Roman magistrate's attendant
lido,bathing beach; open-air swimming pool
lief,soon; gladly
lienal,of like or pertaining to the spleen
lientery,discharge of partially digested food
ligation,the act of binding; the state of being bound
ligger,horizontal timber of a scaffolding
lighter,large open boat used in loading and unloading ships
lighterage,cargo carried by or fee for carrying cargo by lighter
ligneous,woody; wooden
ligniform,of the form or shape of wood
lignify,to make woody; to turn into wood
ligniperdous,destructive of wood
lignite,woody coal
lignivorous,feeding on wood
ligulate,resembling or shaped like a strap
ligyrophobia,fear of loud noises
limaciform,slug-like
limacine,of like or pertaining to slugs
limacology,study of slugs
limation,polishing or smoothing; correction of astronomical errors
limax,slug
limbate,possessing a border
limbus,border
limes,border
limicoline,living on a shore; of like or pertaining to wading birds
limicolous,living in mud
limitrophe,near the frontier or border
limivorous,eating mud
limn,to portray paint or delineate
limner,painter of portraits
limnetic,living in fresh water; pertaining to fresh water
limnobiology,study of freshwater ecosystems
limnology,study of bodies of fresh water
limnophilous,living in ponds or marshes
limoniad,meadow nymph
limophoitos,insanity due to lack of food
limosis,abnormally ravenous appetite
limous,muddy; slimy
limpid,clear; transparent
limpkin,Caribbean crane-like bird
linaceous,of like or pertaining to flax
linchpin,person or thing vital to an organization
lincrusta,thick embossed wallpaper
lindy hop,lively dance closely resembling the jitterbug and famous for its aerials
lineament,distinctive feature or characteristic
lineolate,marked with fine lines
lingual,of like or pertaining to language speech or the tongue
linguiform,shaped like a tongue
linography,photographic reproduction on linen
linonophobia,fear of string
linsang,white civet-like Javanese mammal
linsey,coarse linen and wool blend
linsey-woolsey,coarse inferior wool or wool-flax weave; nonsense or confusion
lintel,horizontal beam supporting the load above a door
lioncelle,small lion used as a bearing
lionism,lion-like appearance symptomatic of leprosy
lipogram,piece of writing in which a certain letter is excluded
lipography,accidental omission of letter or syllable in wrting
lipomatosis,obesity
lipothymy,swoon
lippitude,soreness of the eyes
lipsanographer,one who writes about relics
lipsanotheca,container for relics
liquate,to melt; to subject to liquation
liquescent,becoming liquid
liquifacient,liquifying agent
liquifaction,the act of liquefying something
liripipe,long tail of a graduate's hood; a part or lesson committed to memory
lissome,lithe; nimble; flexible
lissotrichous,smooth-haired
litany,prayer of supplication in responsive style
literatim,letter for letter
literation,representation of sounds by letters
literator,dabbler in learning
literose,spuriously or affectedly literary
lithochromy,painting upon stone
lithoclast,stone breaker; tool for breaking rocks
lithodomous,living in burrows in rocks
lithogenous,rock-building
lithoglyph,engraving on stone
lithography,art of imaging using impression on stone
litholatry,stone-worship
lithology,study of rocks
lithomancy,divination by stones or meteorites
lithophagous,stone-swallowing; rock-boring; eating rock
lithophilous,living among stones
lithophyte,plant that grows on rock
litotes,understatement by affirming using negation of the contrary
littoral,of like or pertaining to the shore of a body of water
liturate,spotted
liturgician,one who studies or recites church rituals
liturgiology,study of liturgical forms and church rituals
liturgist,leader in public worship
lituus,long curved trumpet
livedo,pathological blueness of skin
lixiviation,leaching
loan-word,word borrowed from another language
lobar,of like or pertaining to a lobe
lobate,having a lobe or lobes
lobcock,bumpkin boor or lout
lobular,shaped like a lobe
locanda,lodging-house; inn
locative,indicating location or place where
locellate,divided into small compartments
locellus,small compartment of a cell
lochetic,waiting in ambush
lochlet,little loch
lockram,coarse linen
lockstep,method of marching in tight formation
locomobile,self-propelling machine; early automobile
loculate,having loculi
loculus,small compartment or recess for holding an urn
locum,clergyman temporarily replacing regular priest
locuplete,well-stored
locutory,room for conversation
loden,heavy waterproof woollen fabric
lodesman,pilot
loess,deposit of rich and fertile soil
logan,rocking-stone
loganamnosis,obsession with trying to recall forgotten words
logarithmancy,divination by means of algorithms
loggia,covered open arcade
logia,collection of sayings
logicaster,a petty logician
logice,in a logical manner
logicism,theory that mathematics can be derived from a set of logical axioms
logocentrism,belief that meaning derives from the analysis of words and symbols
logocracy,government of words
logodaedalus,artificer in words
logodaedaly,verbal legerdemain
logogogue,one who issues laws or rules regarding words
logogram,single sign standing for word or phrase
logography,writing using signs or units for entire words
logogriph,riddle in which word is found from other words' letters
logomachy,contention about words or in words
logomancy,divination using words
logomania,pathological loquacity
logopedics,speech therapy
logophile,a lover of words
logorrhea,excessive flow of words; uncontrollable garrulity
logos,divine rational principle
logotype,body of text with frequently occurring word or syllable
loimic,of like or pertaining to plagues
loimography,description of pestilential diseases
loimology,study of plagues and epidemics
lollop,to bound about wildly
longanimity,forbearance; patience
longe,rope used in training horses
longeron,longitudinal membrane of an airplane
longiloquence,long-winded language
longiniquity,remoteness
longueur,period of dullness or tedium
loquence,speech
loranthaceous,of like or pertaining to the mistletoe
lordolatry,worship of nobility
lordosis,convex curvature of the spine
loreal,located in the area between the eyes and the nose or snout
lorette,courtesan
lorgnette,eyeglasses with a handle
lorgnon,an eyeglass
loricate,armoured with plates or scales; to coat or armour protectively
lorikeet,brightly coloured southeast Asian parrot
lorimer,saddlemaker
loris,large-eyed south Asian arboreal primate
losel,worthless fellow; scamp
lotic,associated with or living in running water
lotophagous,feeding on lotuses; indolent; lazy; dreamy
louche,squinting; ambiguous; shady
louchettes,spectacles used to reduce glare and prevent squinting
loupe,jeweller's magnifying glass worn on the eye-socket
lour,to look sullen or threatening
louvre,sloping slat placed across an opening
lovat,grey-green; blue-green
loxodograph,device used to record ship's travels
loxodrome,line on the globe equally oblique to all meridians
loxodromy,study of sailing along rhumb-lines
loxophthalmus,squint
loxotic,distorted; oblique
lozenge,diamond-shaped mark indicating possibility in formal logic
lubricious,slippery; lewd
lubricity,greasiness; wiliness
lubritorium,service station
lucarne,dormer window
lucent,shining; bright
lucernal,of like or pertaining to lamps
luciferous,light-bringing; light-giving
luciform,like light
lucifugous,shunning or avoiding light
lucigen,lamp burning oil mixed with air in a spray
lucimeter,instrument for measuring light intensity
luciphyllous,light-absorbing or consuming
lucre,sordid gain; riches
lucriferous,lucrative; yielding profit
lucripetous,eager for gain
luctation,struggle
lucubration,study protracted late into the night
luculent,bright; clear; convincing
ludibry,contempt; derision
ludibund,playful
ludic,spontaneously and aimlessly playful
ludicrism,burlesque
luff,windward side of a ship; forward edge of fore-and-aft sail
lugsail,four-sided sail bent to an obliquely hanging yard
lugubrious,mournful; dismal
lulav,palm-frond waved at certain Jewish religious services
lumbriciform,shaped like a worm; worm-like
lumbricine,of like or pertaining to earthworms
lumen,unit of luminous flux
luminiferous,bearing or bringing light
luminist,artist who uses the effects of light; impressionist
lumpenintelligentsia,those of the intellectual class regarded disparagingly as of little worth
lunarist,one who believes that the moon affects the weather
lunate,crescent-shaped
lunation,lunar month; interval between successive new moons
lunette,crescent-shaped space where a vault meets a wall
lunisolar,pertaining jointly to the moon and sun
lunistice,time when moon is farthest north or south each month
lunula,Bronze Age crescent necklace; white part of fingernail base
lunulate,shaped like a small crescent
lupanarian,of like or pertaining to a brothel
lupicide,killing of a wolf
lupiform,shaped like a wolf
lupine,of like or pertaining to wolves
lupulic,of like or pertaining to hops
lur,ancient Scandinavian trumpet
lurdan,lazy and dull individual
lurid,red-yellow; yellow-brown
lusory,playful
lustrate,to purify by sacrifice
lustration,ritual washing; ablution
lustring,glossy silk
lustrum,period of five years; periodic purification of Roman empire
